id,beer_image,engname,korname,feature,style,released date,IBU,ABV,about,is_beer,is_brewery_detail,brewery_id,,,,,
21,brewery/9/beer_21.png,Kristall weizen,크리스탈 바이젠,"보리맥아, 밀 맥아, 크리스탈 몰트",MILD ALE,,,4.7,"보리 맥아와 밀 맥아를 함께 사용해 밀 맥아 특유의 구수한 맛을 느낄 수 있는 맥주로, 크리스탈 몰트를 사용해 목 넘김이 부드럽고 새콤한 산미를 느낄 수 있습니다.",,,9,,,,,
22,brewery/10/beer_22.png,WONDERFUL IPA,원더풀 IPA,,Session IPA,,31,5.0,"Amazing Brewing Company 의 제일 큰 자랑인 Wonderful IPA 는, 꽃, 과일과 풀 향이 뿜어져 나오는 맥주로써, 적당히 쌉쌀하면서도 화사한 맛과 향을 가지고 있습니다. 전 세계 수제맥주 시장에서 가장 대표적인 맥주로 자리잡은 전형적인 Session IPA 로써, 누구나 쉽게 여러잔 마실 수 있는 IPA 입니다.",,,10,,,,,
23,brewery/11/beer_23.png,,미노리 세션,,,,28,4.5,"사천쌀의 담백하고 깔끔한 풍미가 돋보이며, 향긋한 귤향이 인상적인 드링커블한 라이스에일. 쌀농사를 짓고 있는 강릉시 사천면의 ‘미노리’라는 마을 이름을 딴 맥주",,,11,,,,,
24,brewery/11/beer_24.png,Hasla IPA,하슬라 IPA,"홉: 시트라(Citra), 아마릴로(Amarillo)",,,41,6.1,시트라(Citra)와 아마릴로(Amarillo) 홉에서 나오는 풍성한 시트러스 향을 느낄 수 있습니다. 일반적인 ipa보다 쓴 맛이 덜 하고 비교적 바디감이 가벼워 IPA를 처음 접하시는 분도 편안하게 즐길 수 있습니다. ,,,11,,,,,
25,brewery/12/beer_25.png,Platinum Gold Ale,플래티넘 골드 에일,"Yeast: top-fermenting Ale Yeast
Hops: Magnum, German Hallertau & Cascade
Malts: Premium Pilsner Malt, Vienna Malt, Munich Malt",Golden Ale,,15,4.8,"풍부한 거품, 깔끔하면서도 부드러운 목 넘김, 잔잔한 홉의 향으로 대변되는 전형적인 미국 캘리포니아 지역의 대표적 황금색 맥주.100% 프리미엄 몰트 사용으로 얻어지는 풍부하면서도 깔끔한 뒷맛으로 인해 누구나 부담없이 즐길 수 있는 맥주. 2015 대한민국주류대상 대상 수상, 2014 International Beer Cup 동상 수상",,,12,,,,,
26,brewery/13/beer_26.png,Da wheat,다윗,"센테니얼 홉, 쵸콜렛 윗 몰트(chocolate wheat malt)",스타우트,2015.9,30,6.0,"크래프트원의 시즈널 맥주였던 사우스포를 기반으로 하여 양조된 스타우트로 쵸콜렛 윗 몰트 (chocolate wheat malt)를 사용해 밀 맥아 특유의 부드러운 질감을 강조한 맥주입니다.
흑맥주임에도 센테니얼 홉을 사용해 산뜻한 향과 맛을 덧붙여 마치 민트 쵸콜릿과 같은 맛을 느낄 수 있습니다. 규모는 작지만 뛰어난 맥주를 만들겠다는 브루원의 포부가 담겨져있는 맥주 이름입니다.",,,13,,,,,
27,brewery/14/beer_27.png,Levee Red IPA,레비 레드 IPA,,India Pale Ale,,58,6.8,고소하면서 카라멜 풍미를 느낄 수 있는 레비 레드 IPA,,,14,,,,,
28,brewery/14/beer_28.png,Levee Sorachi Ace,레비 소라치 에이스,,American Pale Lager,2016.8,18,5.8,"레몬, 라임, 자몽의 맛과 향이 조화를 이루는 레비 소라치 에이스",,,14,,,,,
29,brewery/15/beer_29.png,THE GENTLEMAN LAGER,더 젠틀맨 라거(양반탈),,,,38,7.6,"아름다운 골든 컬러에 목넘김이 부드러운 필스너 타입의 라거입니다. 홉을 충분히 사용하여 맛의 깊이를 더하였고 알코올 도수는 높지만 맛이 깔끔한, 음용성이 좋은 라거입니다.",,,15,,,,,
30,brewery/16/beer_30.png,,아로니아 바이젠,,,2015.12,12,5.0,"이번에 출시된 바이젠은 밀맥주로 맛이 무겁지않거 상쾌하며, 단백한 맛과 특유의 꽃향기가 나는 것이 특징입니다. 여기에 아로니아를 첨가함으로써 아로니아 특유의 타닌 성분이 바이젠의 특징과 만나 특유의 하브맛이 입가에 남습니다. ",,,16,,,,,
31,brewery/17/beer_31.png,Mindeulre,민들레,,Belgian Witbier with Yuja,2016.09,,,"유자를 이용한 벨지안 윗 비어(Belgian Witbier) 스타일의 유자 밀맥주, 부드러운 풍미와 은은한 유자향이 있는 마시기 편안한 에일 맥주, 노랑의 맥주색과 새하얀 거품이 민들레와 닮았고, 친숙하고 매력적인 유자향은 우리의 정서와 잘 맞음",,,17,,,,,
32,brewery/17/beer_32.png,Whisky Barrel Aged Dokkaeb,도깨비,,SOUR ALE,2016.11,10,7.0,"아키투 브루잉은 우리의 맥주는 무엇인가를 수년 전부터 고민해 왔었고, 발효 미생물은 우리의 토착종을 이용하는 것도 가능하다고 생각했습니다. 발효문화가 오래된 우리나라의 경우 토착종의 미생물을 구하기는 쉽습니다. 누룩, 메주 등 야생에서 미생물의 채취를 위한 메디아는 여러 있습니다. 맥주의 발효 과정으로 볼 때 누룩보다는 메주 미생물이 맥주에 더 맞을 것이라 생각하고, 홈 브루잉 시절부터 메주를 이용한 맥주를 시험해 왔습니다. 그렇게 만들어진 것이 '도깨비' 맥주입니다.

위스키 배럴 도깨비는 오크 배럴의 부러운 탄닌의 영향으로 와인의 느낌이 멋지게 느껴지고, 배럴의 풍미가 부드럽게 절제되어 올라오는 아주 고급스러운 사우어 비어입니다. 신맛의 정도가 매우 절제되고 부드러워 누구나 편하게 마실 수 있는 와인 느낌의 맥주입니다. 마실 때는 알코올의 느낌을 모르나 마신 후 아련한 알코올의 기운을 느낄 수 있는 부드러운 맥주입니다.",,,17,,,,,
33,brewery/18/beer_33.png,,수리세종,,Saison,,28,5.0,"여름 무더위의 갈증을 날려버리기 좋은 스타일로 경쾌한 레몬색의 맥주로 파인애플, 청포도,복숭아, 레몬등의 은은한향이 첫입맛을 자극하고 꿀같은 약간의 단맛과 비교적 라이트한 바디감에 적당한 비터(IBUs28)가 마지막을 장식하는 드링커블한 맥주입니다. 여러가지면에서 큰 부담이 없어 누구나 편하게 즐기실 수 있는 맛! 반복시음이 가능한 맛! 입니다.",,,18,,,,,
34,brewery/19/beer_34.png,Rauchbier Bamberg,훈연맥주 밤베르크,,,,20,5.2,"독일 바이에른 지방 밤베르크의 맥주. 맥주보리에 연기를 통과시켜 향을 더하는 밤베르크만의 고유한 제조방식은 지역을 상징하는 가장 대표적인 맥주이기도 하다. 너도밤나무를 땔감으로 사용하여 나무의 향과 연기가 고스란히 스며들어 자연스러운 스모크향이 나는 게 특징. 필터로 걸러내지 않아 불투명한 브라운 색상을 띠는 맥주는 특유의 훈제향이 입안 전체에 퍼져 고소한 풍미를 느낄 수 있으며, 로스트 된 훈제 요리를 함께 곁들이면 매우 잘 어울린다. 독특한 향에 비해 부담스럽지 않은 바디감을 지녔기에 라이트한 맥주를 좋아하는 사람들도 쉽게 빠져들 수 있다.",,,19,,,,,
35,brewery/20/beer_35.png,Seouliner Weisse,서울리너 바이세,,SOUR ALE,,N/A,4.3,"서울리너 바이세'는 독일식 사우어 에일인 베를리너 바이세 스타일에 망고의 달콤함, 오렌지 필의 시트러스, 라임의 시나몬스러운 상큼함을 더하여 4.3%의 저도수이지만 풍미가 복잡하고 시큼상큼 달콤한 주스같은 사우어 에일입니다. ",,,20,,,,,
36,brewery/21/beer_36.png,,밤톨이,,English Brown,2014.11,22,4.5,"햇밤의 껍질을 연상시키는 짙은 갈색의 색상을 띠는 밤톨이 브라운 에일은 정통 영국식 브라운 에일을 표방합니다. 밤톨이 브라운 에일은 어두운 빛깔, 비교적 묵직한 질감 그리고 진한 풍미를 강조하였습니다.
브라운 몰트 특유의 군밤, 너트류와 같은 견과류의 맛이 돋보이는 가운데 진한 커피, 흑설탕, 카라멜의 맛과 향 그리고 풍미의 복잡다단함을 부여하는 영국 홉의 꽃, 허브, 찻잎 등의 풍미가 더해져 조화를 이룹니다.",,,21,,,,,
37,brewery/21/beer_37.png,WHITE IPA,백야,,SESSION IPA,,40,5.0,"화이트 IPA는 스타일 이름에서 예상 할 수 있듯이 벨지안 화이트와 아메리칸 IPA의 특징이 만나 벨지안 효모, 오렌지껍질, 코리엔더 씨앗 그리고 아메리칸 홉이 맛과 향에서 조화를 이루는 가운데 대량 투입된 홉에서 기인하는 쓴맛이 특징이 되는 스타일 입니다.
최대한 BJCP 스타일 가이드에 맞게 양조하는 가운데 특징을 주기위해서 흔히 사용되는 오렌지 껍질 대신에 전남 고흥의 특산품인 유자껍질을 사용하여 향긋한 유자의 풍미를 더해보았습니다.",,,21,,,,,
38,brewery/22/beer_38.png,Peach Ale,피치에일,,PALE ALE,,28,4.8,"취향 저격, 여심을 사로 잡았던 복숭아의 새콤, 달콤함이 오롯이 맥주에 잘 녹아 있는 셉템버 브루잉의 피치 에일.",,,22,,,,,
39,brewery/22/beer_39.png,Mango Logics,망고 로직스,,SESSION IPA,,35,5.2,숨은 망고의 맛을 IPA로 맛보는 순간 매료될 것'이라는 슬로건 아래 양조 되어진 망고 로직스는 시트러스한 풍미와 어우러진 망고향이 여름날 일상을 풍요롭게 만들꺼에요.,,,22,,,,,
40,brewery/23/beer_40.png,Trevier Pilsner,트레비어 필스너,,PILSNER,,15,4.5,고소한 필스너 몰트와 상쾌한 홉향이 인상적,,,23,,,,,
41,brewery/23/beer_41.png,Trevier Weizen,트레비어 바이젠,,WEIZEN,,6,4.5,"부드러운 목넘김이 좋은 독일식 밀맥주 바이젠, 감귤향이 매력적",,,23,,,,,
42,brewery/24/beer_42.png,SteinDorf HefeWeizen,슈타인도르프 헤페바이젠,,HEFEWEIZEN,,14,5.0,"독일 남부지방의 정통적인 방법으로 빚어내었으며, 여과처리를 하지 않은 헤페바이젠은 백색의 풍부한 거품과 밝은 오렌지 색을 띄고 있으며 밀 특유의 깔끔한 풍미와 함께 여성분들이 즐겨찾는 맥주",,,24,,,,,
43,brewery/24/beer_43.png,SteinDorf Stout,슈타인도르프 스타우트,,STOUT,,35,4.2,부드럽고 풍부한 거품이 특징이며 맥아를 로스팅 하여 알콜도수는 낮으나 향이 깊고 풍부하며 구수한 맛과 조화를 이루어 목 넘김의 부드러움이 특징인 흑맥주,,,24,,,,,
44,brewery/25/beer_44.png,Choco-Chili Extra Stout ,초코 칠리 엑스트라 스타우트,,STOUT,2016.11,38,7.7,"영국 Crate 브루어리와 공동 양조한 엑스트라 스타우트. 풍부하고 부드러우며 다크 초콜렛의 맛과, 한국 고추에서 온 따뜻한 목넘김을 느낄 수 있다",,,25,,,,,
45,brewery/25/beer_45.png,IPA,IPA,,IPA,,60,5.4,리치한 홉향과 쌉쌀함. 클래식한 딥엠버 스타일의 IPA로 고릴라브루잉의 대표 맥주,,,25,,,,,
46,brewery/26/beer_46.png,Jezek Grand Pilsner,예잭 그랜드 필스너,,PILSNER,,,4.3,황금빛의 Creamy한 거품과 상큼한 과일향이 일품인 100% 몰트 맥주입니다.,,,26,,,,,
47,brewery/26/beer_47.png,Granat,그라낫,,BROWN LAGER,,,5.2,필스너의 섬세한 맛과 둥켈의 깊은 맛을 느낄 수 있는 매력적인 맥주입니다.,,,26,,,,,
48,brewery/27/beer_48.png,SEOUL PORTER,서울 포터,"malts: Crystal, Chocolate malt ",PORTER,,,5.1,굿맨 서울 포터는 런던 포터 특유의 풍부한 향과 무겁지 않은 흑맥주의 느낌을 서울에서 전달 하고자 합니다. 무게감은 미디엄 마이너스에 가깝습니다. 7가지 종류의 맥아가 들어있습니다.,,,27,,,,,
49,brewery/27/beer_49.png,TABLE BEER AMBER,테이블 비어 앰버,Hops: Cascade,AMBER ALE,,,3.3,"테이블 앰버는 무겁지 않으며 매리죠터, 크리스탈, 뮤닠 등의 몰트로부터 카라멜, 견과류 등의 향을 느낄수 있으며 캐스케이드 홉과 밸런스를 맞추고 있습니다. 전체적으로 은은하게 다가오는 앰버 에일입니다.",,,27,,,,,
50,brewery/28/beer_50.png,Weizenbock,바이젠 복,,WEIZEN,,24,7.0,,,,28,,,,,
51,brewery/29/beer_51.png,Jirisan Moon Bear IPA,지리산 반달곰 IPA,"홉: 캐스케이드(Cascade), 치누크(Chinook), 센테니얼(Centennial)",IPA,,95,6.8,"As is typical with IPAs, this beer has a high yet balanced alcohol content and lots of hops. Centennial, Cascade and Chinook hops drive the bitterness up to 95 IBUs while providing strong citrus and floral notes. Its dry finish will keep you coming back for more!
높은 알코올 도수와 함께 드라이하고 진한 홉의 끝 맛이 느껴지는 인디안 페일 에일",,,29,,,,,
52,brewery/30/beer_52.png,Tropical Pale Ale,트로피컬 페일 에일,,PALE ALE,,,4.5,"리치, 람부탄, 자몽, 오렌지 등의 풍성한 과일향이 느껴지며 기분좋은 쌉쌀함으로 마무리 되는 파이루스의 대표 맥주",,,30,,,,,
53,brewery/30/beer_53.png,Espresso Porter,에스프레소 포터,,PORTER,,,4.5,"검게 구운 맥아(malt)를 듬뿍 넣어 양조하여 커피, 다크 카카오와 같은 풍미가 깊고도 길게 이어지는 흑맥주 (*커피 무첨가)",,,30,,,,,
54,brewery/31/beer_54.png,Frea ale,프레아,몰트: 카라 아로마(Cara aroma),BROWN ALE,,,4.3,"바네하임의 대표 맥주 ‘프레아(Frea) 에일’은 천도 복숭아의 상큼함과 자두의 향긋함이 돋보인다. 맥주에 입에 닿는 느낌은 진득하지만, 무게감이 가벼워 편하게 마시기에 부담이 없다. 맥주를 넘기면 담백한 크래커에서 날 법한 고소한 냄새가 코 끝을 스친다. 독일 바이어만(Weyermann)사(社) ‘카라 아로마(Cara aroma)’ 맥아에서 나오는 여운이다. 카라 아로마는 향이 풍부하지만, 일반 몰트들보다 가격이 50% 정도 비싸다. 홉은 미국산 캐스케이드 홉을 사용한다. ",,,31,,,,,
55,brewery/32/beer_55.png,Princess Weizen,프린세스 바이젠,,WEIZEN,,10,5.0,"바이젠하우스 시그니처 맥주! 바나나, 바닐라, 클로브향이 어우러진 밀맥주",,,32,,,,,
56,brewery/33/beer_56.png,Galaxy IPA,갤럭시 IPA,,IPA,,45,6.4,갤럭시는 홉의 특성을 중시한 IPA 스타일입니다. 깰럭시는 호주 원산의 유명한 홉을 사용했습니다. 갤럭시 홉은 패션프루트와 같은 풍미와 씁쓸함이 돋보힙니다.,,,33,,,,,
57,brewery/34/beer_57.png,Devil‘s Pale ale,데블스 페일에일,"yeast: top fermenting ale yeast
hops: CITRA HOP
malts: Pale malt, cara aroma malt",PALE ALE,,25,4.6,"CITRA HOP을 사용하여 맥주의 거친 느낌을 줄이고 레몬, 감귤, 오렌지, 자몽 등다채로운 열대과일의 향을 즐길수 있는 Devil‘s Door만의 황금빛 Pale Ale",,,34,,,,,
58,brewery/36/beer_58.png,Combat zone IPA,컴뱃존 IPA,"몰트: 아메리카 두줄 몰트
홉: 시트러스, 콜럼버스",IPA,,85,7.5,미국 웨스트코스트 스타일의 IPA로 미국식 페일에일을 만드는 데 필요한 아메리카 두줄 몰트와 시트러스 그리고 콜럼버스 홉을 사용하여 만든 맥주예요. 혀가 얼얼할 정도의 홉을 원하시는 분께 추천해드릴께요,,,36,,,,,
59,brewery/37/beer_59.png,"ODB
(이게 이름인지 약자인지 잘 모르겠네요! 댓글에 원문과 링크 걸어두겠습니다.)",,홉: 갤럭시 홉,STRONG ALE,,,7.5,"한국에서 처음으로 아메리칸 스트롱 에일을 선보입니다. 홉머리브루잉컴퍼니에서 직접 양조한 맥주로써, 알콜함량 7.5% 갤럭시 합에서 나오는 핵과열매의 다양한 과일향과, 견과류, 그리고 맥아에서 나오는 호밀빵의 풍미가 느껴지는 맥주입니다.",,,37,,,,,
60,brewery/38/beer_60.png,Elise,엘리제,"열대과일, 허브",PALE ALE ,,37,5.3,열대 과일향과 허브향이 절묘한 조화를 이루는 히든트랙의 대표맥주로 아메리칸 스타일의 페일에일.,,,38,,,,,
61,brewery/39/beer_61.png,Jejusien Light,제주지앵 라이트,,LIGHT ALE,,36,5.0,"몽마르카부덴! ('목 마를까봐서'의 제주도 방언)
건강물질이 함유된 감귤 맥주로 특허까지 받은 제주지앵!
제주의 싱그러움이 가득한 감귤맥주",,,39,,,,,
62,brewery/40/beer_62.png,Barbarosa Pilsner,바바로사 필스너,,PILSNER,,21,4.5,"전통적인 독일식 또는 체코식 필스너를 한국인의 입맛에 맞게 조절한 바바로사의 필스너로 IBU 17-18 의 상대적으로 부드러운 쓴맛을 적용한 마일드 필스너 버전. 보헤미안 필스너의 특징인 홉의 짭짤함이 돋보이며 맥아의 향과 풍미가 돋보인다.

",,,40,,,,,
63,brewery/41/beer_63.png,WEIZEN,바이젠,,WEIZEN,,,4.5,"필스너 몰트, 밀 몰트, 특수 몰트",,,41,,,,,
64,brewery/42/beer_64.png,Jespi Strong Ale,제스피 스트롱에일,,ALE,,,6.5,진한 알코올의 바디감이 풍부한 에일 맥주,,,42,,,,,
65,brewery/43/beer_65.png,CROW STOUT,까마귀 스타우트,"Malt : Pale, Munich, Carapils, Caramunich, CaraAroma, Carafa, Chocolate Wheat
Hop : US Magnum",STOUT,2016.7,22,5.3,"까마귀라는 이름처럼 검은 맥주로 다양한 특수 맥아를 사용하여 카라멜, 초콜렛, 커피, 바닐라 등의 풍미와 풍부한 바디감을 느끼실 수 있는 아메리칸 스타일의 스타우트 입니다.",,,43,,,,,
66,brewery/44/beer_66.png,PLUTO Amber,플루토 엠버 에일,,AMBER ALE,,,6.5,카라멜 몰트의 단 맛과 무게감이 강조된 맥주입니다. 더불어 부드러운 초콜릿과 커피의 풍미도 함께 느끼실 수 있습니다.,,,44,,,,,
67,brewery/45/beer_67.png,Bamboo Beer Weizen,대나무 맥주 바이젠,,WEIZEN,,,4.5,신선한 밀향에 부드러운 목넘김을 자랑하는 바이젠,,,45,,,,,
68,brewery/45/beer_68.png,Bamboo Beer Dunkel,대나무 맥주 둔켈,,DUNKEL,,,4.5,구수하면서도 씁쓸한 맛이 일품인 둔켈,,,45,,,,,
69,brewery/46/beer_69.png,Pilsner,,"홉, 맥아",PILSNER,,,4.0,체코 스타일의 필스너. 황금색의 하얗고 짙은 거품. 향긋한 홉 향과 중간 비터니스로 밸런스 잡힌 부드러운 맥아 향,,,46,,,,,
70,brewery/47/beer_70.png,hoppy weizen,호피바이젠,Main hop :Citra,WEIZEN,2015.12,13,4.5,Citra향의 밀 맥주. 매니아 위주보다는 처음 접하는 사람이 편하게 즐길 수 있는 맥주.,,,47,,,,,
71,brewery/48/beer_71.png,Weizen,바이젠,,WEIZEN,,,,독일에서 처음 양조되어 그 맛을 인정받아 맛이 깔끔하고 구수한 맛이 일품입니다.,,,48,,,,,
72,brewery/49/beer_72.png,GOLO NO.5,골로 NO.5,,WEIZEN,,13,5.2,은은한 바나나향이 일품인 밀 60% + 맥아 40%의 빈센트반골로 대표 맥주. 편안한 목넘김과 Sour 맛이 일품,,,49,,,,,
